Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa
96,-0.3792346,0.0015817076,-0.37923458,-0.03785853,-0.15125899,-0.029495148,-0.3741331,0.0015817076,-0.3741331,-0.064607725,-0.3474959,0.024016595
97,-0.37928718,0.0015817076,-0.37928715,-0.037808724,-0.15124539,-0.0293565,-0.37418827,0.0015817076,-0.37418827,-0.06464442,-0.34751168,0.024139605
98,-0.37925413,0.0015817076,-0.3792541,-0.037767477,-0.15120308,-0.02949163,-0.37415776,0.0015817076,-0.37415776,-0.06469212,-0.34749386,0.023989787
99,-0.37928072,0.0015817076,-0.3792807,-0.037721965,-0.15117739,-0.029387563,-0.37418684,0.0015817076,-0.37418684,-0.06473818,-0.34751013,0.024071388
100,-0.3792673,0.0015817076,-0.37926728,-0.03770717,-0.15113129,-0.029465502,-0.374174,0.0015817076,-0.374174,-0.06480194,-0.34747627,0.023934344
101,-0.37929583,0.0015817076,-0.3792958,-0.037645437,-0.15113145,-0.029331602,-0.37420636,0.0015817076,-0.37420636,-0.06481069,-0.3475101,0.0240855
102,-0.3792747,0.0015817076,-0.37927467,-0.03759387,-0.15110946,-0.0293551,-0.37418854,0.0015817076,-0.37418854,-0.06483633,-0.34752274,0.02406516
103,-0.37925425,0.0015817076,-0.37925422,-0.037570197,-0.1510768,-0.029428812,-0.37416947,0.0015817076,-0.37416947,-0.06487799,-0.34750193,0.023966279
104,-0.37927186,0.0015817076,-0.37927184,-0.037529945,-0.15106973,-0.029362304,-0.3741894,0.0015817076,-0.3741894,-0.064895496,-0.34751183,0.024039503
105,-0.37926513,0.0015817076,-0.3792651,-0.03745744,-0.15106794,-0.029323587,-0.37418753,0.0015817076,-0.37418753,-0.06489579,-0.3475567,0.024123345
106,-0.37922823,0.0015817076,-0.3792282,-0.037442088,-0.15102293,-0.029441126,-0.37415147,0.0015817076,-0.37415147,-0.064947724,-0.3475287,0.023975035
107,-0.37923127,0.0015817076,-0.37923124,-0.037400324,-0.151014,-0.029428545,-0.37415713,0.0015817076,-0.37415713,-0.06496432,-0.347545,0.023985932
108,-0.3792505,0.0015817076,-0.37925047,-0.037339754,-0.15101652,-0.02933369,-0.37418014,0.0015817076,-0.37418014,-0.06496735,-0.34759042,0.02410506
109,-0.37923318,0.0015817076,-0.37923315,-0.037297588,-0.15100744,-0.029397272,-0.37416574,0.0015817076,-0.37416574,-0.064975955,-0.3475987,0.02404842
110,-0.37922245,0.0015817076,-0.37922242,-0.0372691,-0.15099663,-0.029466053,-0.37415692,0.0015817076,-0.37415692,-0.064988725,-0.34759006,0.023961965
111,-0.3792471,0.0015817076,-0.37924707,-0.037221543,-0.15100265,-0.029393176,-0.37418452,0.0015817076,-0.37418452,-0.064989105,-0.34761915,0.024042675
112,-0.37924552,0.0015817076,-0.3792455,-0.03718847,-0.1509904,-0.029415462,-0.374185,0.0015817076,-0.374185,-0.06500879,-0.34762943,0.024023637
113,-0.37926057,0.0015817076,-0.37926054,-0.037145868,-0.15098013,-0.029352255,-0.3742026,0.0015817076,-0.3742026,-0.06502659,-0.34765515,0.024098244
114,-0.3792447,0.0015817076,-0.37924466,-0.03712395,-0.15095788,-0.02943553,-0.37418804,0.0015817076,-0.37418804,-0.06505428,-0.34764624,0.024001317
115,-0.37925592,0.0015817076,-0.3792559,-0.037088934,-0.15094998,-0.029416136,-0.3742014,0.0015817076,-0.3742014,-0.065069616,-0.34766158,0.024007631
116,-0.379277,0.0015817076,-0.37927696,-0.037063923,-0.15094051,-0.029369963,-0.37422383,0.0015817076,-0.37422383,-0.06508997,-0.34766683,0.024022859
117,-0.37928462,0.0015817076,-0.3792846,-0.03702424,-0.15093507,-0.029337358,-0.37423396,0.0015817076,-0.37423396,-0.06510076,-0.34768695,0.024054173
