Epoch,Layer0_theta_1,Layer0_r,Layer0_theta_2,Layer0_bx,Layer0_bp,Layer0_kappa,Layer1_theta_1,Layer1_r,Layer1_theta_2,Layer1_bx,Layer1_bp,Layer1_kappa,Layer2_theta_1,Layer2_r,Layer2_theta_2,Layer2_bx,Layer2_bp,Layer2_kappa
66,-0.19052158,0.0015817076,-0.19052157,0.07166353,-0.103720166,0.0031125124,-0.19193815,0.0015817076,-0.1919381,0.12543559,-0.14302415,0.016753586,-0.19149944,0.0015817076,-0.19149943,0.20568469,-0.16628546,0.0035097185
67,-0.18963417,0.0015817076,-0.18963416,0.06913189,-0.098749794,0.0009834161,-0.19107606,0.0015817076,-0.19107601,0.119687326,-0.13985242,0.01434409,-0.19059202,0.0015817076,-0.190592,0.20106797,-0.16600229,0.0013852966
68,-0.19526994,0.0015817076,-0.19526993,0.06873917,-0.101685286,0.0011916556,-0.19664747,0.0015817076,-0.19664742,0.12126588,-0.14253192,0.0143472105,-0.19610769,0.0015817076,-0.19610767,0.20356034,-0.16622949,0.0014937668
69,-0.19133814,0.0015817076,-0.19133812,0.068408914,-0.10006314,0.0025740943,-0.19273579,0.0015817076,-0.19273575,0.12018483,-0.14152518,0.01557197,-0.19220684,0.0015817076,-0.19220683,0.20309143,-0.16608281,0.0022762637
70,-0.18971981,0.0015817076,-0.1897198,0.07048688,-0.09875442,0.003144223,-0.19119655,0.0015817076,-0.1911965,0.12183437,-0.14005597,0.016112631,-0.19076769,0.0015817076,-0.19076768,0.20358333,-0.16579501,0.0014226164
71,-0.19131595,0.0015817076,-0.19131593,0.07341009,-0.0988887,0.003280177,-0.19286983,0.0015817076,-0.19286978,0.12525116,-0.1395038,0.016198825,-0.1925556,0.0015817076,-0.19255559,0.20533292,-0.16588715,0.00060467294
72,-0.19318497,0.0015817076,-0.19318496,0.07358471,-0.09944099,0.0036585862,-0.19473273,0.0015817076,-0.19473268,0.12592681,-0.14000559,0.016458958,-0.19441675,0.0015817076,-0.19441673,0.2062172,-0.16614744,5.393999e-05
73,-0.18960413,0.0015817076,-0.18960412,0.07314689,-0.094887175,0.005079028,-0.19122823,0.0015817076,-0.19122818,0.12239707,-0.1368221,0.017828321,-0.19093433,0.0015817076,-0.19093432,0.20316632,-0.16644512,0.0021841133
74,-0.18208443,0.0015817076,-0.18208441,0.07556012,-0.09735011,0.00627247,-0.18371744,0.0015817076,-0.1837174,0.12660965,-0.13850613,0.01903118,-0.18348636,0.0015817076,-0.18348633,0.20773478,-0.16771491,0.004030036
75,-0.18053892,0.0015817076,-0.18053891,0.07241256,-0.10051906,0.0053202333,-0.18202148,0.0015817076,-0.18202144,0.12548724,-0.14228362,0.01814605,-0.18162178,0.0015817076,-0.18162175,0.21037333,-0.16973862,0.0023375684
76,-0.19407144,0.0015817076,-0.19407143,0.07219814,-0.09593219,0.0055235443,-0.19563952,0.0015817076,-0.19563946,0.12171798,-0.13928045,0.018426437,-0.19522648,0.0015817076,-0.19522645,0.2064107,-0.17016512,0.001061643
77,-0.19984153,0.0015817076,-0.19984151,0.069686234,-0.10185484,0.0026866575,-0.201233,0.0015817076,-0.20123294,0.12316251,-0.14506187,0.015617939,-0.20065099,0.0015817076,-0.20065095,0.21101806,-0.16950165,-0.0023730947
78,-0.19868876,0.0015817076,-0.19868875,0.06590228,-0.103847876,0.0027148037,-0.19994046,0.0015817076,-0.1999404,0.120679796,-0.14806722,0.015656669,-0.19918469,0.0015817076,-0.19918463,0.21208248,-0.16799477,-0.0026085495
79,-0.20452863,0.0015817076,-0.20452861,0.063054375,-0.10554129,0.0047384673,-0.20567518,0.0015817076,-0.20567513,0.11926701,-0.15016222,0.017682407,-0.20480023,0.0015817076,-0.20480016,0.21189208,-0.16523005,-0.00070824503
80,-0.19960009,0.0015817076,-0.19960007,0.05917037,-0.10470869,0.002354829,-0.20065178,0.0015817076,-0.20065172,0.11518449,-0.15072507,0.015303632,-0.19964615,0.0015817076,-0.19964607,0.2102639,-0.16330373,-0.0031288841
81,-0.20385414,0.0015817076,-0.20385413,0.06012309,-0.10663568,0.002573205,-0.20490195,0.0015817076,-0.20490189,0.11778555,-0.15207613,0.015522583,-0.20392124,0.0015817076,-0.20392118,0.21203555,-0.16056584,-0.0029325522
82,-0.20129748,0.0015817076,-0.20129746,0.061515138,-0.10351816,0.0046717087,-0.20243391,0.0015817076,-0.20243385,0.117282994,-0.14941978,0.017619004,-0.20153536,0.0015817076,-0.2015353,0.2099815,-0.15611234,-0.00085294666
83,-0.20134495,0.0015817076,-0.20134494,0.06445247,-0.100206174,0.0023313425,-0.20261009,0.0015817076,-0.20261003,0.118022084,-0.14639704,0.01528148,-0.20183226,0.0015817076,-0.2018322,0.20890667,-0.15396231,-0.0031863297
84,-0.20029585,0.0015817076,-0.20029585,0.06613254,-0.103732534,0.002564086,-0.20154488,0.0015817076,-0.20154482,0.122264504,-0.14901167,0.015514018,-0.20080216,0.0015817076,-0.2008021,0.21325542,-0.15162356,-0.0029563557
85,-0.20446688,0.0015817076,-0.20446688,0.0670317,-0.10020861,0.0046623955,-0.2057996,0.0015817076,-0.20579952,0.120860614,-0.14624827,0.01761004,-0.20510432,0.0015817076,-0.20510426,0.21088897,-0.15062061,-0.00086812174
86,-0.20182787,0.0015817076,-0.20182787,0.06749503,-0.096402176,0.002332135,-0.20323588,0.0015817076,-0.2032358,0.11879113,-0.1435197,0.015282318,-0.20257849,0.0015817076,-0.20257843,0.20891257,-0.1504008,-0.0031884604
87,-0.1997963,0.0015817076,-0.1997963,0.07043717,-0.10881841,0.0025653327,-0.20105529,0.0015817076,-0.20105521,0.13068333,-0.15241353,0.015515259,-0.20042685,0.0015817076,-0.20042679,0.2204027,-0.14582069,-0.0029564444
88,-0.2024575,0.0015817076,-0.2024575,0.062147677,-0.10713321,0.004657968,-0.20351659,0.0015817076,-0.20351651,0.12092026,-0.15354748,0.01760571,-0.20256668,0.0015817076,-0.20256662,0.21543123,-0.14022592,-0.00087271165
89,-0.20282358,0.0015817076,-0.20282358,0.05481825,-0.1039958,0.002334649,-0.20374118,0.0015817076,-0.2037411,0.11116211,-0.15340643,0.015284786,-0.20252457,0.0015817076,-0.20252451,0.21022503,-0.13621436,-0.003186385
90,-0.2014662,0.0015817076,-0.2014662,0.054504246,-0.11265607,0.0025672466,-0.20225914,0.0015817076,-0.20225906,0.117092825,-0.16036937,0.015517138,-0.20100951,0.0015817076,-0.20100947,0.21743678,-0.13107379,-0.0029547876
91,-0.20236434,0.0015817076,-0.20236434,0.05027476,-0.113179624,0.0046542035,-0.20302805,0.0015817076,-0.203028,0.113361545,-0.1620421,0.017602028,-0.20161618,0.0015817076,-0.20161614,0.21594521,-0.12475183,-0.0008762042
92,-0.20325713,0.0015817076,-0.20325713,0.048607707,-0.10130575,0.0023371112,-0.20401573,0.0015817076,-0.20401567,0.10344457,-0.15354814,0.015287201,-0.20256343,0.0015817076,-0.20256339,0.20570907,-0.12230522,-0.0031841404
